"District","Observations","Temp_Mean","Temp_SD","Temp_Min","Temp_Max","Rain_Mean","Rain_SD","Rain_Min","Rain_Max","ADF_Temp_pvalue","ADF_Rain_pvalue","PP_Temp_pvalue","PP_Rain_pvalue","KPSS_Temp_pvalue","KPSS_Rain_pvalue"
"Ampara",174,27.24,1.72,24.04,30.28,139.23,113.64,10.7,550.5,0.01,0.01,0.01,0.01,0.1,0.1
"Anuradhapura",174,26.69,1.36,23.64,29.62,114.34,101.21,6,490.3,0.01,0.01,0.01,0.01,0.1,0.1
"Badulla",174,23.36,1.61,20.1,26.65,160.46,112.57,4.5,490.2,0.01,0.01,0.01,0.01,0.1,0.1
"Bandarawela",174,20.53,1.25,17.59,22.93,184.16,119.55,29,629.5,0.01,0.01,0.01,0.01,0.01,0.0431
"Batticaloa",174,27.61,1.61,24.43,30.36,129.69,117.21,5.1,580.2,0.01,0.01,0.01,0.01,0.1,0.1
"Colombo",174,26.62,0.78,24.82,29.09,223.27,132.48,13.4,631.9,0.01,0.01,0.01,0.01,0.1,0.1
"Galle",174,26.5,0.64,24.96,28.32,209.19,116.05,32.6,624.6,0.01,0.01,0.01,0.01,0.1,0.01
"Gampaha",174,26.45,0.81,24.67,29.26,222.77,133.71,10.9,620.2,0.01,0.01,0.01,0.01,0.1,0.1
"Hambantota",174,27.33,0.9,24.91,28.96,93.55,80.58,5.3,431.5,0.01,0.01,0.01,0.01,0.1,0.1
"Jaffna",174,27.71,1.41,24.85,30.26,97.09,109.09,0,578.9,0.01,0.01,0.01,0.01,0.1,0.1
"Kalutara",174,26.47,0.69,24.82,28.55,220.89,128.53,13.4,600.4,0.01,0.01,0.01,0.01,0.1,0.1
"Kandy",174,23.83,1,21.39,26.99,160.35,124.05,7.1,648.3,0.01,0.01,0.01,0.01,0.0428,0.1
"Kegalle",174,25.32,1.07,23.02,28.3,198.61,129.13,3.2,595.2,0.01,0.01,0.01,0.01,0.01,0.1
"Kilinochchi[1]",174,27.73,1.69,24.58,30.39,89.88,109.49,0.6,519.5,0.01,0.01,0.01,0.01,0.1,0.1
"Kurunegala",174,25.86,1.03,23.6,29.3,166.47,117.45,5.5,608.1,0.01,0.01,0.01,0.01,0.1,0.1
"Mannar",174,27.63,1.34,24.65,30.14,81.44,89.79,0.8,478.8,0.01,0.01,0.01,0.01,0.1,0.1
"Matale",174,24.85,1.06,22.51,28.05,168.68,129.92,10.5,638.6,0.01,0.01,0.01,0.01,0.1,0.1
"Matara",174,26.64,0.65,25.2,28.58,163.63,94.94,8.9,465.4,0.01,0.01,0.01,0.01,0.021,0.1
"Moneragala",174,26.35,1.61,23.23,29.75,143.71,114.43,9.8,508.2,0.01,0.01,0.01,0.01,0.1,0.1
"Mullaitivu",174,27.76,1.56,24.65,30.4,104.39,112.59,1.4,509.5,0.01,0.01,0.01,0.01,0.1,0.1
"Nuwara Eliya",174,16.85,1.02,15.7,19.67,202.02,127.31,29,629.5,0.095,0.01,0.01,0.01,0.01,0.1
"Polonnaruwa",174,27.28,1.83,23.57,30.36,115.58,112.97,3,536.7,0.01,0.01,0.01,0.01,0.1,0.1
"Puttalam",174,27.01,0.97,24.79,29.33,133.58,103.6,5,515.4,0.01,0.01,0.01,0.01,0.1,0.1
"Ratnapura",174,25.34,0.8,23.45,27.57,307.07,169.59,25.8,849.6,0.01,0.01,0.01,0.01,0.01,0.01
"Trincomalee",174,27.72,1.51,24.61,30.31,115.31,120.28,1.9,571.6,0.01,0.01,0.01,0.01,0.1,0.1
"Vavuniya",174,26.93,1.67,23.57,29.78,107.24,97.61,2.3,431.4,0.01,0.01,0.01,0.01,0.1,0.1
"Welimada",174,21.19,1.45,17.87,24.2,179.74,118.85,26.1,629.5,0.01,0.01,0.01,0.01,0.0249,0.0212
